#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.111573    0.111573           0
           2    0.112628    0.112101 0.000372743
           3    0.109131    0.111111 0.000845586
           4    0.113019    0.111588 0.000756899
           5    0.112143    0.111699 0.000613624
           6    0.109792    0.111381 0.000587903
           7     0.11231    0.111514  0.00051867
           8    0.110993    0.111449 0.000457908
           9    0.113418    0.111667 0.000456313
          10    0.111391     0.11164 0.000411517
          11    0.112689    0.111735 0.000385008
          12    0.113417    0.111875 0.000377574
          13    0.114187    0.112053 0.000388151
          14    0.111726     0.11203 0.000361127
          15    0.112543    0.112064 0.000338666
          16    0.111549    0.112032 0.000319028
          17    0.113445    0.112115 0.000310903
          18    0.111505    0.112081 0.000295471
          19    0.113884    0.112176 0.000294757
          20    0.112435    0.112189 0.000280303
