#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     0.04512     0.04512           0
           2     0.02382     0.03447  0.00753069
           3      0.0437   0.0375467  0.00561387
           4      0.0554     0.04201  0.00571564
           5     0.03848    0.041304  0.00461591
           6     0.03872   0.0408733  0.00386663
           7     0.02728   0.0389314  0.00377048
           8     0.03774   0.0387825  0.00330211
           9     0.03146   0.0379689  0.00303379
          10     0.03324    0.037496  0.00276702
          11     0.02696   0.0365382  0.00267612
          12     0.05046   0.0376983  0.00269287
          13     0.02312   0.0365769  0.00270918
          14     0.01846   0.0352829  0.00280777
          15     0.04042   0.0356253  0.00264139
          16     0.01114    0.034095  0.00288576
          17     0.03772   0.0343082  0.00272388
          18     0.05056   0.0352111  0.00271807
          19     0.02578   0.0347147  0.00261995
          20     0.02778    0.034368  0.00251179
