#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     0.02948     0.02948           0
           2      0.0294     0.02944 2.82843e-05
           3     0.01962   0.0261667  0.00267273
           4     0.02514     0.02591  0.00201684
           5     0.00878    0.022484  0.00346313
           6     0.03282   0.0242067  0.00328658
           7     0.02616   0.0244857  0.00282889
           8     0.02514   0.0245675  0.00247646
           9     0.03862   0.0261289  0.00264817
          10     0.03426    0.026942  0.00250507
          11     0.01898   0.0262182  0.00237961
          12     0.01482   0.0252683  0.00236329
          13     0.03398   0.0259385  0.00227453
          14     0.00938   0.0247557  0.00239995
          15     0.03132   0.0251933   0.0022795
          16     0.02048   0.0248987  0.00215599
          17      0.0126   0.0241753  0.00214712
          18     0.00822   0.0232889  0.00220322
          19     0.01082   0.0226326  0.00218281
          20     0.01776    0.022389  0.00208722
