#BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.444988   -0.444988           0
           2   -0.443128   -0.444058 0.000657609
           3    -0.44308   -0.443732 0.000512885
           4   -0.443696   -0.443723 0.000384742
           5   -0.443088   -0.443596 0.000328086
           6   -0.442404   -0.443397 0.000328086
           7   -0.443368   -0.443393 0.000281244
           8   -0.443396   -0.443394 0.000246088
           9   -0.443128   -0.443364 0.000220506
          10   -0.443688   -0.443396 0.000200822
          11   -0.442004    -0.44327 0.000218853
          12   -0.441816   -0.443149 0.000231734
          13    -0.44144   -0.443017 0.000248402
          14   -0.442632    -0.44299 0.000232178
          15   -0.443404   -0.443017 0.000218336
          16   -0.444608   -0.443117 0.000226194
          17   -0.441284   -0.443009 0.000237193
          18    -0.44248    -0.44298 0.000225829
          19   -0.443332   -0.442998 0.000214704
          20   -0.443216   -0.443009 0.000204245
