#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     0.02708     0.02708           0
           2     0.02278     0.02493  0.00152028
           3      0.0412   0.0303533  0.00454264
           4     0.02104    0.028025  0.00395896
           5     0.02794    0.028008   0.0031672
           6     0.00318     0.02387  0.00460818
           7       0.034   0.0253171  0.00417091
           8     0.01686     0.02426  0.00378114
           9     0.04162   0.0261889  0.00382147
          10     0.02928    0.026498   0.0034518
          11       0.025   0.0263618  0.00314069
          12      0.0401   0.0275067  0.00308057
          13     0.02706   0.0274723  0.00284379
          14     0.03284   0.0278557  0.00266638
          15     0.00916   0.0266093  0.00276463
          16     0.02558    0.026545  0.00259259
          17      0.0113   0.0256482  0.00259054
          18     0.03418   0.0261222   0.0024896
          19     0.02932   0.0262905  0.00236425
          20     0.04668     0.02731  0.00245602
