#BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     47.9878     47.9878           0
           2     46.4492     47.2185    0.543965
           3     41.6293     45.3555     1.56381
           4      47.505     45.8928     1.26182
           5     47.4039     46.1951     1.04502
           6     44.5692     45.9241    0.905303
           7     44.7075     45.7503    0.792482
           8      42.654     45.3632    0.782243
           9     46.4491     45.4839     0.70457
          10     47.5647      45.692    0.664128
          11     42.5309     45.4046    0.663019
          12       45.98     45.4525    0.609499
          13     42.2286     45.2046    0.610986
          14     43.1349     45.0567    0.584956
          15     43.4022     44.9464     0.55626
          16     45.8511      45.003    0.524359
          17      48.695     45.2201    0.536609
          18     44.6323     45.1875     0.50779
          19     48.2487     45.3486    0.505979
          20     46.5063     45.4065     0.48398
