#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1   0.0829626   0.0829626           0
           2    0.188779    0.135871   0.0374117
           3   0.0538687    0.108537   0.0334688
           4   0.0275108   0.0882802   0.0306241
           5    0.142319    0.099088   0.0263374
           6   0.0557526   0.0918654   0.0229168
           7   0.0836502   0.0906918    0.019673
           8     0.10169   0.0920666   0.0172618
           9    0.145725   0.0980287   0.0163411
          10    0.155905    0.103816   0.0156985
          11   0.0987232    0.103353   0.0142782
          12   0.0777518     0.10122   0.0132468
          13    0.122993    0.102895   0.0123332
          14    0.103125    0.102911   0.0114523
          15   0.0643822    0.100343   0.0109731
          16       0.235    0.108759   0.0131237
          17   0.0780114     0.10695   0.0124757
          18    0.110002     0.10712   0.0117838
          19    0.082913    0.105846   0.0112322
          20   0.0598212    0.103544   0.0109038
