#N_BLOCK:  ACCEPTANCE:
           8    0.517105
           9    0.517361
          10    0.517212
          11    0.517398
          12    0.517383
          13    0.517456
          14    0.517511
          15    0.517527
          16    0.517462
          17    0.517436
          18    0.517461
          19    0.517467
          20     0.51748
           1    0.538232
           2    0.538095
           3    0.537764
           4    0.537812
           5    0.537534
           6    0.537798
           7    0.537829
           8    0.537796
           9    0.537863
          10    0.537702
          11    0.537605
          12    0.537676
          13    0.537691
          14    0.537655
          15    0.537718
          16    0.537695
          17    0.537634
          18    0.537678
          19    0.537619
          20    0.537627
           1    0.555551
           2    0.555686
           3    0.556259
           4    0.556394
           5    0.556553
           6    0.556646
           7     0.55655
           8    0.556638
           9    0.556581
          10    0.556586
          11    0.556818
          12    0.556804
          13    0.556898
          14    0.556936
          15     0.55695
          16    0.556896
          17    0.557002
          18    0.557031
          19    0.557027
          20    0.557047
           1    0.573782
           2     0.57386
           3    0.573955
           4    0.574042
           5    0.574261
           6    0.574318
           7    0.574227
           8    0.574276
           9     0.57424
          10    0.574191
          11    0.574198
          12     0.57408
          13    0.573869
          14    0.573959
          15    0.573937
          16    0.573937
          17    0.573944
          18    0.573997
          19     0.57402
          20    0.573959
           1    0.590606
           2    0.590679
           3    0.590705
           4    0.590835
           5    0.590932
           6    0.591139
           7    0.591106
           8     0.59104
           9     0.59104
          10    0.590878
          11    0.590861
          12    0.590926
          13     0.59079
          14    0.590767
          15    0.590806
          16     0.59087
          17    0.590831
          18    0.590812
          19    0.590798
          20    0.590771
           1     0.60643
           2    0.606938
           3    0.606499
           4    0.606353
           5    0.606266
           6    0.606192
           7    0.605913
           8    0.605809
           9    0.605768
          10    0.605815
          11    0.605846
          12    0.605777
          13    0.605781
          14    0.605749
          15    0.605671
          16     0.60573
          17    0.605746
          18      0.6057
          19    0.605778
          20    0.605807
           1     0.61987
           2     0.62014
           3    0.620166
           4    0.619949
           5    0.619878
           6    0.619858
           7    0.619918
           8    0.619933
           9    0.619942
          10     0.62001
          11    0.620001
          12    0.619975
          13    0.620049
          14     0.62006
          15    0.620072
          16     0.62018
          17    0.620156
          18    0.620286
          19    0.620227
          20     0.62024
           1    0.634478
           2    0.633549
           3    0.633775
           4    0.633668
           5    0.633271
           6    0.633505
           7    0.633401
           8    0.633556
           9    0.633582
          10    0.633512
          11    0.633407
          12    0.633509
          13    0.633439
          14    0.633458
          15    0.633395
          16     0.63338
          17     0.63344
          18    0.633448
          19    0.633444
          20    0.633434
           1    0.645592
           2    0.645781
           3    0.645767
           4    0.645667
           5      0.6455
           6    0.645531
           7    0.645578
           8     0.64575
           9     0.64568
          10    0.645636
          11    0.645628
          12    0.645614
          13     0.64567
          14    0.645723
          15    0.645758
          16    0.645808
          17    0.645793
          18    0.645832
          19    0.645844
          20    0.645797
           1    0.656807
           2    0.656355
           3    0.656313
           4     0.65656
           5    0.656671
           6    0.656807
           7    0.656699
           8    0.656763
           9    0.656812
          10    0.656813
          11    0.656931
          12    0.656914
          13    0.656942
          14    0.657058
          15    0.657057
          16    0.657125
          17    0.657113
          18    0.657174
          19    0.657182
          20    0.657194
           1     0.66847
           2    0.667852
           3    0.667213
           4    0.667698
           5    0.667862
           6    0.667806
           7    0.667907
           8    0.667863
           9    0.667929
          10    0.667829
          11    0.667869
          12    0.667933
          13    0.667891
          14     0.66793
          15    0.667956
          16    0.668049
          17    0.668053
          18    0.668029
          19    0.668003
          20    0.667982
