#BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.02858     1.02858           0
           2     1.04262      1.0356  0.00496143
           3     1.02854     1.03325  0.00382572
           4     1.02122     1.03024  0.00387422
           5     1.04031     1.03225  0.00358492
           6     1.02045     1.03029  0.00348544
           7     1.03929     1.03157  0.00321588
           8     1.04309     1.03301  0.00311971
           9     1.04357     1.03419  0.00298539
          10     1.03166     1.03393  0.00269754
          11     1.04167     1.03464  0.00254238
          12     1.03762     1.03489  0.00234267
          13     1.01345     1.03324  0.00268065
          14     1.02878     1.03292  0.00250803
          15     1.05106     1.03413  0.00261627
          16     1.04234     1.03464  0.00250262
          17     1.02798     1.03425  0.00238589
          18     1.05563     1.03544   0.0025318
          19     1.02111     1.03468  0.00250834
          20     1.05633     1.03577  0.00260593
