#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     0.08622     0.08622           0
           2     0.05608     0.07115   0.0106561
           3     0.06766   0.0699867  0.00716729
           4     0.10876     0.07968  0.00996826
           5      0.0392    0.071584   0.0107717
           6     0.08094   0.0731433  0.00908862
           7     0.08184   0.0743857   0.0078747
           8      0.0346   0.0694125  0.00831375
           9      0.0896   0.0716556  0.00768663
          10     0.11158    0.075648  0.00788695
          11     0.07982   0.0760273  0.00717907
          12     0.05682   0.0744267  0.00675689
          13     0.09666   0.0761369  0.00644994
          14     0.07974   0.0763943  0.00599436
          15     0.02294   0.0728307  0.00656916
          16     0.05472   0.0716987  0.00625535
          17     0.09756     0.07322  0.00606954
          18      0.0996   0.0746856  0.00590663
          19     0.06066   0.0739474   0.0056417
          20      0.0581    0.073155  0.00541497
