#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1     0.28642     0.28642           0
           2    0.356655    0.321537   0.0248318
           3    0.310231    0.317768   0.0168381
           4    0.270502    0.305952   0.0162543
           5     0.34124     0.31301   0.0144547
           6    0.349191     0.31904   0.0132438
           7    0.342483    0.322389   0.0117677
           8     0.35872     0.32693   0.0111386
           9    0.317519    0.325885  0.00994995
          10    0.321546    0.325451  0.00896441
          11    0.341716    0.326929  0.00827052
          12     0.33365    0.327489  0.00760024
          13    0.321785    0.327051  0.00702827
          14    0.350481    0.328724  0.00672256
          15    0.269659    0.324786  0.00733756
          16    0.376712    0.328032  0.00756268
          17    0.317565    0.327416  0.00714284
          18    0.353228     0.32885  0.00688845
          19    0.342318    0.329559  0.00656227
          20    0.311656    0.328664  0.00629492
