#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     0.03628     0.03628           0
           2     0.05218     0.04423   0.0056215
           3     0.04422   0.0442267  0.00374767
           4     0.03126    0.040985  0.00397261
           5     0.02306      0.0374  0.00451464
           6     0.07058     0.04293  0.00629589
           7     0.07494   0.0475029  0.00685899
           8      0.0327   0.0456525  0.00624622
           9     0.04288   0.0453444  0.00555978
          10     0.06838    0.047648   0.0054602
          11      -4e-05   0.0433127  0.00645953
          12     0.03788     0.04286  0.00593708
          13     0.06448   0.0445231  0.00570856
          14      0.0608   0.0456857   0.0054179
          15      0.0469   0.0457667  0.00505732
          16     0.04458   0.0456925  0.00474178
          17       0.053   0.0461224  0.00448229
          18       0.055   0.0466156  0.00426032
          19     0.04716   0.0466442  0.00403619
          20      0.0572    0.047172  0.00386874
