#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     0.01362     0.01362           0
           2     0.01572     0.01467 0.000742462
           3     0.02352     0.01762    0.002459
           4     0.01066     0.01588  0.00238159
           5     0.00196    0.013096  0.00313537
           6     0.01456     0.01334  0.00262229
           7      0.0217   0.0145343  0.00250492
           8       0.014   0.0144675  0.00219269
           9     0.02418   0.0155467  0.00219864
          10     0.01152    0.015144  0.00201531
          11     0.02602   0.0161327  0.00206042
          12     0.03334   0.0175667  0.00233497
          13     0.02336   0.0180123  0.00219747
          14     0.01234   0.0176071  0.00207752
          15     0.02192   0.0178947  0.00195882
          16     0.01668   0.0178187  0.00183786
          17     0.01444     0.01762  0.00174047
          18     0.02062   0.0177867  0.00165173
          19     0.01154   0.0174579  0.00159719
          20     0.01562    0.017366  0.00151997
