#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     0.01896     0.01896           0
           2     0.01164      0.0153  0.00258801
           3      0.0301   0.0202333  0.00438201
           4     0.01118     0.01797  0.00382663
           5     0.01494    0.017364  0.00310892
           6     0.01442   0.0168733   0.0026292
           7     0.01114   0.0160543  0.00237776
           8     0.02012   0.0165625  0.00213416
           9     0.01412   0.0162911  0.00191421
          10     0.01094    0.015756  0.00179602
          11      0.0098   0.0152145  0.00171242
          12     0.02494    0.016025  0.00175103
          13     0.01964   0.0163031  0.00163827
          14     0.01678   0.0163371  0.00152161
          15     0.01976   0.0165653  0.00143717
          16     0.02232    0.016925  0.00139163
          17     0.04266   0.0184388  0.00196783
          18     0.01898   0.0184689  0.00185873
          19     0.02126   0.0186158   0.0017667
          20     0.02902    0.019136  0.00175328
