#BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1    0.822818    0.822818           0
           2    0.822469    0.822644 0.000123472
           3    0.860972     0.83542    0.010432
           4    0.838648    0.836227  0.00785515
           5    0.824912    0.833964  0.00660203
           6    0.819175    0.831499  0.00594401
           7    0.832675    0.831667  0.00509724
           8    0.820871    0.830318   0.0046353
           9    0.824562    0.829678  0.00416416
          10    0.817017    0.828412  0.00393552
          11    0.818332    0.827496  0.00368288
          12    0.821283    0.826978  0.00341217
          13    0.836829    0.827736  0.00323274
          14     0.83382     0.82817   0.0030309
          15    0.838125    0.828834  0.00290058
          16    0.827069    0.828724  0.00272139
          17    0.836794    0.829198  0.00260239
          18    0.835594    0.829554  0.00248195
          19    0.847091    0.830477   0.0025171
          20    0.823574    0.830132  0.00241479
