#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     0.01406     0.01406           0
           2     0.01426     0.01416 7.07107e-05
           3     0.01082   0.0130467 0.000910254
           4     0.00534     0.01112   0.0018028
           5     0.02482     0.01386  0.00284361
           6     0.01014     0.01324  0.00243633
           7     0.02018   0.0142314  0.00228111
           8     0.01404   0.0142075  0.00199609
           9     0.01528   0.0143267  0.00177786
          10     0.01374    0.014268  0.00160104
          11     0.01426   0.0142673  0.00145549
          12     0.00932    0.013855  0.00139136
          13     0.00696   0.0133246  0.00138173
          14     0.01242     0.01326  0.00128455
          15     0.01244   0.0132053  0.00120007
          16     0.00782   0.0128687  0.00117132
          17     0.00654   0.0124965  0.00116007
          18      0.0259   0.0132411  0.00131304
          19      0.0163   0.0134021  0.00125376
          20     0.01228    0.013346  0.00119233
