#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     0.03624     0.03624           0
           2      0.0386     0.03742 0.000834386
           3     0.03314   0.0359933  0.00129087
           4      0.0397     0.03692  0.00125752
           5     0.06084    0.041704  0.00439561
           6     0.03928      0.0413  0.00368153
           7     0.03734   0.0407343  0.00319876
           8     0.04752   0.0415825  0.00290921
           9     0.02572     0.03982  0.00307383
          10      0.0023    0.036068   0.0045081
          11     0.02168     0.03476  0.00428383
          12     0.07736     0.03831   0.0051935
          13     0.03686   0.0381985  0.00479519
          14     0.04526   0.0387029  0.00447913
          15     0.01968   0.0374347  0.00435636
          16      0.0379   0.0374637  0.00408418
          17     0.05438   0.0384588   0.0039633
          18     0.04226     0.03867  0.00374874
          19     0.02922   0.0381726  0.00358428
          20     0.02196    0.037362  0.00349553
