#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     0.93446     0.93446           0
           2     0.97218     0.95332    0.013336
           3     0.99114    0.965927   0.0136013
           4     0.72878     0.90664   0.0523473
           5     0.92454     0.91022   0.0420001
           6      0.8856    0.906117      0.0352
           7      0.9924    0.918443   0.0322574
           8     0.91032    0.917428   0.0282412
           9      0.9483    0.920858   0.0253108
          10     0.69598     0.89837   0.0312097
          11     0.84782    0.893775   0.0287088
          12     0.97954    0.900922   0.0271915
          13     0.86226    0.897948   0.0252619
          14     0.96452    0.902703   0.0239009
          15     0.97044    0.907219   0.0227301
          16     0.88734    0.905976   0.0213434
          17     0.95726    0.908993      0.0203
          18     0.90666    0.908863   0.0191726
          19      0.9343    0.910202   0.0182102
          20      0.9688    0.913132   0.0175338
