#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.119813    0.119813           0
           2    0.118103    0.118958 0.000604737
           3    0.118112    0.118676  0.00046422
           4    0.120373      0.1191 0.000506101
           5    0.120807    0.119442  0.00050713
           6    0.120402    0.119602 0.000447138
           7    0.120089    0.119671 0.000388635
           8    0.118557    0.119532 0.000364173
           9    0.118598    0.119428 0.000338155
          10    0.120367    0.119522 0.000317108
          11    0.121031    0.119659 0.000316548
          12    0.120238    0.119707 0.000293824
          13     0.11907    0.119658 0.000275288
          14     0.11911    0.119619 0.000258397
          15    0.118447    0.119541 0.000252703
          16    0.119872    0.119562 0.000237757
          17    0.122433    0.119731 0.000277336
          18    0.118755    0.119676 0.000267174
          19    0.120453    0.119717 0.000256219
          20    0.121905    0.119827 0.000265744
