#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     0.73312     0.73312           0
           2     0.02488       0.379    0.250401
           3     0.26364    0.340547    0.169861
           4      0.4063    0.356985    0.128188
           5     0.42552    0.370692    0.103281
           6     0.34526    0.366453   0.0861544
           7     0.49838      0.3853   0.0758801
           8      0.3707    0.383475    0.066417
           9     0.32198    0.376642   0.0593878
          10      0.4432    0.383298   0.0538207
          11     0.31048    0.376678   0.0493333
          12     0.45528    0.383228    0.045655
          13     0.35118    0.380763   0.0422096
          14     0.48838     0.38845   0.0398884
          15      0.4895    0.395187   0.0377938
          16      0.4484    0.398512   0.0355777
          17     0.45492    0.401831   0.0336392
          18     0.34108    0.398456   0.0319393
          19     0.48442     0.40298    0.030577
          20      0.2261    0.394136   0.0303002
