#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     0.02426     0.02426           0
           2     0.01078     0.01752   0.0047659
           3     0.02176   0.0189333  0.00338034
           4     0.01792     0.01868  0.00254473
           5      0.0121    0.017364  0.00235157
           6       0.012     0.01647  0.00212279
           7     0.01916   0.0168543  0.00185399
           8      0.0089     0.01586  0.00186995
           9     0.00322   0.0144556  0.00212512
          10     0.02638    0.015648  0.00222211
          11     0.02328   0.0163418  0.00212566
          12     0.01282   0.0160483  0.00196868
          13      0.0069   0.0153446  0.00193894
          14    -0.00476   0.0139086   0.0022708
          15     0.02328   0.0145333  0.00220368
          16     0.01206   0.0143787  0.00207137
          17      0.0239   0.0149388  0.00202382
          18     0.01714   0.0150611  0.00191508
          19     0.01324   0.0149653  0.00181668
          20     0.00886     0.01466  0.00175131
