#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     0.08414     0.08414           0
           2     0.07786       0.081  0.00222032
           3     0.04124   0.0677467   0.0109221
           4     0.05394    0.064295  0.00871992
           5      0.0488    0.061196  0.00750645
           6     0.03134     0.05622  0.00773068
           7     0.06442   0.0573914  0.00671447
           8      0.0517     0.05668  0.00591273
           9     0.04232   0.0550844   0.0054668
          10     0.07174     0.05675  0.00516762
          11     0.06478     0.05748  0.00474912
          12     0.03592   0.0556833  0.00468089
          13     0.05568   0.0556831  0.00432082
          14     0.04534   0.0549443  0.00407486
          15      0.0547    0.054928  0.00380324
          16     0.05158   0.0547188  0.00357129
          17      0.0299   0.0532588  0.00364743
          18      0.0194   0.0513778  0.00389979
          19     0.02374   0.0499232  0.00395654
          20     0.05202    0.050028   0.0037601
