#BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1          -1          -1           0
           2   -0.999988   -0.999994 4.24264e-06
           3   -0.999508   -0.999832 0.000132303
           4   -0.999996   -0.999873 0.000105389
           5   -0.999096   -0.999718 0.000162566
           6   -0.999996   -0.999764 0.000141939
           7   -0.999988   -0.999796 0.000125217
           8    -0.99998   -0.999819 0.000111657
           9    -0.99996   -0.999835 0.000100344
          10   -0.996736   -0.999525 0.000307525
          11          -1   -0.999568 0.000282586
          12    -0.99992   -0.999597 0.000260555
          13   -0.999984   -0.999627 0.000242204
          14    -0.99998   -0.999652 0.000226212
          15   -0.999948   -0.999672 0.000211988
          16   -0.998332   -0.999588 0.000214646
          17    -0.99996    -0.99961 0.000203131
          18   -0.999992   -0.999631  0.00019295
          19          -1   -0.999651 0.000183768
          20   -0.998444    -0.99959 0.000184219
