#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.157058    0.157058           0
           2    0.157047    0.157052 4.02503e-06
           3    0.156569    0.156891 0.000131573
           4    0.157646     0.15708  0.00019089
           5    0.160488    0.157762 0.000628543
           6    0.156923    0.157622 0.000539091
           7    0.154968    0.157243 0.000580308
           8    0.154425    0.156891 0.000605278
           9    0.158577    0.157078  0.00056628
          10     0.15777    0.157147 0.000513869
          11    0.155072    0.156958 0.000500602
          12    0.157925    0.157039  0.00046532
          13    0.157942    0.157109 0.000434681
          14    0.156289     0.15705 0.000407557
          15    0.157382    0.157072 0.000380985
          16    0.160442    0.157283 0.000411283
          17    0.155806    0.157196 0.000396151
          18    0.155526    0.157103 0.000384853
          19    0.156662     0.15708 0.000365296
          20    0.157055    0.157079 0.000347034
