#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1     0.14803     0.14803           0
           2    0.147622    0.147826 0.000144404
           3    0.146765    0.147472 0.000304494
           4    0.146558    0.147244  0.00030218
           5    0.145932    0.146981 0.000336957
           6     0.14591    0.146803 0.000324723
           7    0.144831    0.146521  0.00038138
           8    0.146806    0.146557 0.000335367
           9    0.146487    0.146549 0.000298193
          10    0.145669    0.146461 0.000281053
          11    0.146715    0.146484 0.000256451
          12    0.143991    0.146276 0.000307958
          13    0.146313    0.146279 0.000284282
          14    0.145286    0.146208 0.000272687
          15    0.144215    0.146075 0.000285055
          16    0.145051    0.146011 0.000274336
          17    0.146749    0.146055 0.000261604
          18    0.147338    0.146126 0.000256603
          19    0.148091    0.146229 0.000263104
          20    0.145198    0.146178 0.000254955
