#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     0.03896     0.03896           0
           2     0.12802     0.08349   0.0314875
           3     0.10082   0.0892667    0.021515
           4     0.13166    0.099865    0.018564
           5     0.11706    0.103304   0.0151664
           6     0.09282    0.101557   0.0127389
           7     0.05706      0.0952   0.0124041
           8     0.08616     0.09407   0.0109049
           9     0.09324   0.0939778  0.00969365
          10     0.04544    0.089124   0.0098649
          11     0.12152   0.0920691  0.00939743
          12      0.0578   0.0892133  0.00903782
          13     0.11874   0.0914846  0.00862328
          14     0.12022   0.0935371  0.00824798
          15     0.08388   0.0928933  0.00772321
          16     0.04514   0.0899088  0.00779589
          17      0.0223   0.0859318  0.00828988
          18     0.08206   0.0857167  0.00783212
          19      0.0776   0.0852895  0.00743155
          20       0.087    0.085375  0.00706046
