#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     0.99362     0.99362           0
           2      0.9978     0.99571  0.00147785
           3     0.99978    0.997067  0.00148247
           4     0.97314    0.991085  0.00529825
           5     0.99786     0.99244  0.00440846
           6     0.99788    0.993347   0.0037658
           7      0.9996     0.99424   0.0033321
           8      0.9999    0.994948  0.00298976
           9     0.99994    0.995502  0.00270854
          10     0.99246    0.995198  0.00245471
          11     0.98156    0.993958  0.00252532
          12     0.99978    0.994443  0.00236102
          13     0.99914    0.994805  0.00220687
          14     0.99264     0.99465  0.00205465
          15      0.9964    0.994767  0.00192098
          16     0.99504    0.994784  0.00180099
          17     0.99992    0.995086  0.00172021
          18     0.99978    0.995347  0.00164429
          19     0.99982    0.995582  0.00157451
          20     0.99984    0.995795  0.00151011
