#BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     0.96636     0.96636           0
           2     0.95601    0.961185  0.00365928
           3    0.938033    0.953468  0.00675684
           4    0.946862    0.951816   0.0052656
           5    0.953352    0.952123  0.00422143
           6    0.952155    0.952129  0.00351786
           7    0.962868    0.953663  0.00333312
           8    0.961462    0.954638  0.00305572
           9    0.965515    0.955846  0.00294552
          10    0.959643    0.956226  0.00267533
          11    0.960468    0.956612  0.00245976
          12    0.954922    0.956471  0.00225881
          13    0.943828    0.955498  0.00228483
          14    0.969807     0.95652  0.00233907
          15    0.947047    0.955889  0.00226679
          16     0.94698    0.955332  0.00219244
          17    0.952303    0.955154   0.0020707
          18    0.965195    0.955712  0.00202941
          19     0.96833    0.956376  0.00202835
          20     0.93105    0.955109  0.00228832
