#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     0.30824     0.30824           0
           2     0.25644     0.28234   0.0183141
           3     0.05904    0.207907   0.0619888
           4     0.16516     0.19722   0.0474039
           5     0.17444    0.192664   0.0381414
           6     0.20362     0.19449   0.0318282
           7      0.2161    0.197577   0.0274306
           8     0.22322    0.200782   0.0241883
           9     0.17854    0.198311   0.0216266
          10     0.11602    0.190082   0.0209712
          11     0.25208    0.195718   0.0198077
          12      0.1975    0.195867   0.0181576
          13     0.26154    0.200918   0.0174494
          14     0.20512    0.201219   0.0162056
          15     0.16026    0.198488   0.0153536
          16     0.31676     0.20588   0.0160752
          17       0.185    0.204652   0.0151765
          18     0.20228     0.20452   0.0143339
          19     0.25348    0.207097   0.0138092
          20     0.18706    0.206095    0.013155
