#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     0.39962     0.39962           0
           2     0.08146     0.24054    0.112487
           3     0.24822      0.2431   0.0750202
           4     0.30498     0.25857   0.0578382
           5      0.3123    0.269316   0.0472583
           6     0.16248     0.25151   0.0426045
           7     0.35976    0.266974   0.0392244
           8     0.26396    0.266597   0.0343232
           9      0.1852    0.257553   0.0316787
          10     0.32466    0.264264   0.0292129
          11     0.24544    0.262553   0.0266073
          12      0.3416     0.26914   0.0251922
          13     0.40034    0.279232    0.025195
          14     0.39968    0.287836   0.0248208
          15     0.38524    0.294329   0.0240005
          16     0.19686    0.288237   0.0232607
          17      0.3088    0.289447   0.0219239
          18     0.21098    0.285088   0.0211348
          19      0.4113    0.291731   0.0210405
          20     0.24458    0.289373   0.0201201
