#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     2.15871     2.15871           0
           2     2.16865     2.16368  0.00351432
           3     2.21159     2.17965   0.0132476
           4     2.16818     2.17679   0.0102416
           5     2.15122     2.17167  0.00938298
           6     2.14507     2.16724  0.00880446
           7     2.21734      2.1744   0.0100425
           8      2.2768      2.1872   0.0148523
           9     2.14099     2.18206   0.0140616
          10     2.19672     2.18353   0.0127316
          11     2.20482     2.18546   0.0117203
          12     2.17345     2.18446   0.0107863
          13     2.22216     2.18736    0.010339
          14     2.18147     2.18694  0.00960907
          15     2.27914     2.19309   0.0107563
          16     2.18557     2.19262   0.0100943
          17     2.22878     2.19475  0.00972205
          18     2.19835     2.19495    0.009184
          19     2.11477     2.19073  0.00962131
          20     2.13278     2.18783  0.00956659
