#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     2.94055     2.94055           0
           2     3.05263     2.99659   0.0396263
           3     2.95861     2.98393   0.0283679
           4     2.98237     2.98354   0.0212786
           5     3.01244     2.98932   0.0177906
           6     2.93241     2.97983   0.0171682
           7     3.06487     2.99198   0.0185211
           8     3.00175      2.9932   0.0162461
           9     2.98493     2.99228    0.014467
          10     3.03465     2.99652   0.0136266
          11     3.01781     2.99846   0.0125246
          12     2.93486     2.99316   0.0125521
          13     2.92243     2.98772    0.012711
          14     3.00867     2.98921   0.0118909
          15     3.00949     2.99056   0.0111747
          16     3.11447     2.99831   0.0128831
          17     3.01001       2.999   0.0121436
          18     2.84585     2.99049   0.0141386
          19     2.99542     2.99075   0.0133969
          20     2.92022     2.98722    0.013183
