#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.170345    0.170345           0
           2    0.166803    0.168574  0.00125225
           3    0.170157    0.169102  0.00093949
           4    0.167713    0.168754 0.000766135
           5    0.171368    0.169277 0.000770896
           6    0.168531    0.169153  0.00065238
           7    0.167484    0.168914 0.000601175
           8    0.168086    0.168811 0.000534865
           9    0.167355    0.168649 0.000499292
          10    0.172875    0.169072 0.000602194
          11    0.169554    0.169116 0.000549043
          12        0.17    0.169189 0.000508215
          13    0.168174    0.169111 0.000475083
          14    0.168266    0.169051 0.000444967
          15    0.168158    0.168991 0.000419269
          16    0.168376    0.168953 0.000394827
          17    0.171561    0.169106 0.000400305
          18    0.169788    0.169144 0.000379854
          19     0.17088    0.169235  0.00037069
          20    0.169959    0.169272 0.000353913
