#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.994206    0.994206           0
           2           1    0.997103  0.00204849
           3           1    0.998069  0.00157693
           4           1    0.998552  0.00125444
           5           1    0.998841  0.00103646
           6           1    0.999034 0.000881529
           7           1    0.999172 0.000766315
           8           1    0.999276 0.000677474
           9           1    0.999356  0.00060696
          10           1    0.999421 0.000549667
          11           1    0.999473 0.000502215
          12           1    0.999517 0.000462278
          13           1    0.999554 0.000428207
          14           1    0.999586 0.000398803
          15           1    0.999614 0.000373169
          16           1    0.999638 0.000350626
          17           1    0.999659 0.000330647
          18           1    0.999678  0.00031282
          19           1    0.999695 0.000296814
          20           1     0.99971 0.000282365
