#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.008536    0.008536           0
           2   -0.001004    0.003766   0.0033729
           3    0.004372    0.003968  0.00225464
           4    0.000144    0.003012  0.00188278
           5   -0.005808    0.001248   0.0021813
           6    0.004338    0.001763  0.00187756
           7    0.000608    0.001598  0.00161657
           8   -0.004188  0.00087475  0.00156797
           9   -0.003416    0.000398  0.00146443
          10    0.008994   0.0012576  0.00154988
          11   -0.002146 0.000948182  0.00143953
          12    -0.00539     0.00042  0.00141315
          13    0.002818 0.000604462  0.00131643
          14   -0.004574 0.000234571  0.00127331
          15   -0.000236   0.0002032  0.00118881
          16    0.001124  0.00026075   0.0011159
          17   -0.001524 0.000155765  0.00105518
          18   -0.003508-4.77778e-05  0.00101601
          19    0.001016 8.21053e-06 0.000964073
          20   -0.002534  -0.0001189 0.000924211
