#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     122.242     122.242           0
           2     114.973     118.608     2.56994
           3     123.198     120.138      2.1204
           4     123.974     121.097     1.79411
           5     118.738     120.625     1.49601
           6     123.055      121.03     1.30034
           7     122.036     121.174     1.12249
           8      121.03     121.156    0.982323
           9     117.916     120.796    0.936816
          10     117.703     120.487    0.892721
          11     120.721     120.508    0.811818
          12     121.708     120.608    0.750301
          13     118.969     120.482      0.7031
          14     121.244     120.536    0.654984
          15     122.289     120.653    0.621649
          16     112.766      120.16    0.753297
          17     121.753     120.254    0.714788
          18     119.853     120.232    0.675424
          19     121.715      120.31    0.644372
          20      122.42     120.415    0.620733
