#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1   -0.007558   -0.007558           0
           2   -0.000482    -0.00402  0.00250174
           3   -0.000968 -0.00300267  0.00186323
           4    0.009164     3.9e-05  0.00298188
           5   -0.013794  -0.0027276  0.00343713
           6   -0.006694 -0.00338867  0.00292716
           7   -0.012118 -0.00463571  0.00276189
           8   -0.006274  -0.0048405  0.00242423
           9    0.013798 -0.00276956  0.00290788
          10   -0.002562  -0.0027488  0.00261716
          11    0.004162 -0.00212055  0.00245349
          12    0.007764 -0.00129683   0.0023833
          13    0.010226-0.000410462  0.00235904
          14    0.001528   -0.000272   0.0021946
          15   -0.013368 -0.00114507  0.00221516
          16    -0.00082 -0.00112475   0.0020768
          17    0.006606    -0.00067  0.00200381
          18   -0.006434-0.000990222   0.0019179
          19    0.010222-0.000400105  0.00190558
          20   -0.016748  -0.0012175  0.00197786
