#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    -0.00936    -0.00936           0
           2     2.6e-05   -0.004667  0.00331845
           3   -0.007288 -0.00554067  0.00232447
           4   -0.003206   -0.004957  0.00181515
           5    0.005414  -0.0028828  0.00235595
           6   -0.000826    -0.00254  0.00198807
           7    0.001686 -0.00193629  0.00179339
           8    0.007402   -0.000769  0.00191172
           9    0.006388 2.62222e-05  0.00185735
          10   -0.010572  -0.0010336  0.00195069
          11    0.002164-0.000742909  0.00179489
          12    0.000656-0.000626333  0.00164909
          13     0.00525-0.000174308  0.00158298
          14    0.000776-0.000106429  0.00147136
          15    -0.00124   -0.000182  0.00137521
          16    0.000448-0.000142625  0.00128982
          17    0.000494-0.000105176   0.0012145
          18    0.008902 0.000395222  0.00124585
          19    0.008438 0.000818526  0.00125013
          20   -0.001672    0.000694  0.00119381
