#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.46144     1.46144           0
           2     1.51746     1.48945   0.0198049
           3     1.51886     1.49925   0.0154399
           4     1.52854     1.50658   0.0132026
           5     1.51165     1.50759    0.010601
           6      1.4952     1.50552  0.00903311
           7     1.53286     1.50943  0.00854509
           8     1.52675     1.51159  0.00774623
           9     1.49597     1.50986  0.00707748
          10     1.52448     1.51132  0.00651912
          11     1.51676     1.51181   0.0059452
          12     1.52129      1.5126  0.00550195
          13     1.49955      1.5116  0.00516962
          14     1.48571     1.50975  0.00512057
          15     1.51867     1.51034   0.0048136
          16     1.54833     1.51272  0.00506436
          17     1.54183     1.51443  0.00504771
          18     1.50785     1.51407  0.00478051
          19     1.51706     1.51422   0.0045315
          20     1.51216     1.51412  0.00430611
