#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     166.667     166.667           0
           2     166.663     166.665  0.00134822
           3      165.97     166.433    0.189183
           4     166.666     166.491    0.150584
           5     165.414     166.276    0.227246
           6     166.666     166.341    0.198457
           7     166.665     166.387    0.175414
           8     166.663     166.422    0.156834
           9     166.645     166.446    0.141365
          10     161.079      165.91    0.524817
          11     166.667     165.979    0.481596
          12     166.617     166.032    0.444389
          13     166.661      166.08    0.412833
          14     166.657     166.121    0.385398
          15     166.644     166.156    0.361278
          16     163.858     166.013    0.366136
          17     166.648      166.05    0.346502
          18     166.665     166.084    0.328934
          19     166.667     166.115    0.313047
          20      164.15     166.017    0.312429
