#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.273466    0.273466           0
           2     0.26149    0.267478  0.00423416
           3    0.354788    0.296581   0.0239298
           4    0.418468    0.327053    0.031914
           5    -0.00925    0.259792   0.0653531
           6   -0.180202     0.18646   0.0862981
           7    0.097258    0.173717   0.0749047
           8    -0.04499    0.146379   0.0703539
           9    0.003096    0.130458   0.0643129
          10     -0.3805   0.0793624   0.0754982
          11   -0.295356   0.0452971   0.0759321
          12     0.04139   0.0449715   0.0696051
          13    0.168554   0.0544778   0.0648968
          14   -0.282674   0.0303956   0.0645752
          15    -0.27119   0.0102899   0.0633228
          16    0.056536   0.0131802   0.0594311
          17    0.190666   0.0236206   0.0568448
          18    -0.17558   0.0125539   0.0547534
          19   -0.391286 -0.00870084   0.0558449
          20    -0.14159  -0.0153453   0.0534465
