#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.196539    0.196539           0
           2    0.196853    0.196696 0.000111131
           3    0.193885    0.195759 0.000768436
           4    0.196826    0.196026 0.000620915
           5    0.195991    0.196019 0.000496771
           6    0.194823     0.19582 0.000452173
           7    0.197712     0.19609 0.000461334
           8    0.197426    0.196257 0.000432848
           9    0.194429    0.196054 0.000429778
          10    0.196557    0.196104 0.000389735
          11    0.197542    0.196235 0.000375597
          12    0.197118    0.196308 0.000351441
          13    0.195919    0.196279 0.000325681
          14    0.199677    0.196521 0.000382318
          15       0.196    0.196486 0.000358408
          16    0.195638    0.196433 0.000339905
          17     0.19448    0.196319 0.000338779
          18    0.198134    0.196419 0.000334628
          19    0.194952    0.196342 0.000325806
          20    0.196864    0.196368  0.00031056
