#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1    0.738983    0.738983           0
           2    0.740313    0.739648 0.000470226
           3    0.746704       0.742  0.00194593
           4    0.722021    0.737005  0.00456507
           5    0.741383    0.737881  0.00373506
           6    0.724877    0.735714  0.00368812
           7    0.737557    0.735977  0.00317064
           8    0.737657    0.736187  0.00278126
           9    0.720869    0.734485  0.00294737
          10    0.730566    0.734093  0.00267856
          11    0.737637    0.734415  0.00245436
          12    0.728394    0.733913  0.00230054
          13    0.736737    0.734131  0.00213381
          14     0.70357    0.731948  0.00288974
          15    0.722617    0.731326  0.00276323
          16    0.720299    0.730637   0.0026751
          17    0.736474     0.73098  0.00253969
          18    0.726799    0.730748  0.00240919
          19    0.717729    0.730062  0.00237784
          20    0.716654    0.729392  0.00235156
