#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.803584   -0.803584           0
           2   -0.805528   -0.804556 0.000687308
           3   -0.804248   -0.804453  0.00046581
           4   -0.805088   -0.804612 0.000375409
           5   -0.801236   -0.803937 0.000674472
           6   -0.804984   -0.804111 0.000584206
           7   -0.804332   -0.804143 0.000501598
           8    -0.80574   -0.804343 0.000476976
           9   -0.804204   -0.804327 0.000424227
          10   -0.805664   -0.804461 0.000402318
          11   -0.804292   -0.804445 0.000366037
          12   -0.801944   -0.804237 0.000390404
          13    -0.80344   -0.804176 0.000365155
          14   -0.801388   -0.803977 0.000389598
          15   -0.804888   -0.804037 0.000368333
          16      -0.804   -0.804035  0.00034532
          17   -0.806208   -0.804163 0.000347861
          18   -0.807048   -0.804323 0.000363593
          19   -0.806604   -0.804443 0.000363735
          20    -0.80378    -0.80441 0.000347056
