#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.940536   -0.940536           0
           2   -0.936364    -0.93845  0.00147502
           3    -0.93158    -0.93616  0.00211259
           4    -0.93944    -0.93698  0.00173631
           5   -0.937996   -0.937183  0.00140089
           6   -0.935596   -0.936919  0.00119212
           7    -0.93644    -0.93685  0.00102378
           8   -0.932324   -0.936284  0.00104046
           9   -0.936472   -0.936305 0.000925065
          10   -0.941192   -0.936794 0.000952926
          11   -0.934408   -0.936577 0.000890642
          12   -0.936736    -0.93659  0.00081652
          13   -0.931016   -0.936162 0.000858954
          14    -0.93098   -0.935791 0.000873706
          15    -0.93528   -0.935757 0.000816124
          16   -0.935464   -0.935739 0.000765322
          17   -0.941112   -0.936055  0.00078285
          18   -0.935244    -0.93601 0.000740654
          19   -0.938952   -0.936165 0.000717675
          20   -0.937304   -0.936222 0.000684048
