#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     2.51429     2.51429           0
           2     2.53419     2.52424  0.00703807
           3     2.56062     2.53637   0.0109575
           4     2.43742     2.51163    0.022945
           5     2.44622     2.49855   0.0217682
           6     2.51178     2.50075   0.0182515
           7     2.51667     2.50303   0.0157853
           8     2.54574     2.50837   0.0146872
           9     2.52313     2.51001   0.0131465
          10     2.57846     2.51685   0.0134968
          11     2.55319     2.52015   0.0126677
          12     2.60083     2.52688   0.0132767
          13     2.56795     2.53004   0.0126258
          14     2.53814     2.53062   0.0117372
          15     2.52266     2.53009   0.0109668
          16     2.54627      2.5311   0.0103279
          17     2.56662     2.53319  0.00992948
          18     2.54596      2.5339  0.00940318
          19     2.54812     2.53464  0.00893802
          20     2.64752     2.54029   0.0101172
