#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.292773    0.292773           0
           2    0.294124    0.293449 0.000477677
           3    0.292031    0.292976 0.000500368
           4    0.292827    0.292939 0.000376666
           5    0.290672    0.292485 0.000505165
           6    0.291034    0.292243 0.000475381
           7    0.294212    0.292525 0.000483567
           8    0.293248    0.292615  0.00043148
           9     0.29244    0.292596 0.000383975
          10    0.299071    0.293243  0.00070484
          11    0.288766    0.292836 0.000749119
          12    0.291767    0.292747  0.00069197
          13    0.293597    0.292812 0.000641822
          14    0.290385    0.292639 0.000618954
          15    0.289731    0.292445 0.000607293
          16    0.296376    0.292691  0.00061703
          17    0.290081    0.292537 0.000599527
          18    0.293285    0.292579 0.000567656
          19    0.292594     0.29258  0.00053778
          20    0.296826    0.292792  0.00055121
