#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     0.00312     0.00312           0
           2   -0.006012   -0.001446  0.00322865
           3   -0.003188 -0.00202667  0.00220403
           4   -0.004752   -0.002708  0.00175518
           5   -0.004108   -0.002988   0.0014263
           6    0.011722-0.000536333  0.00253409
           7    0.005558 0.000334286  0.00231681
           8   -0.002498  -1.975e-05  0.00205408
           9    0.007012 0.000761556  0.00196884
          10    0.006808   0.0013662  0.00186249
          11   -0.000272  0.00121727  0.00169912
          12   -0.002716   0.0008895  0.00158883
          13     0.00072 0.000876462  0.00146666
          14    0.017924  0.00209414  0.00179767
          15    -0.01876 0.000703867  0.00214921
          16    0.015092  0.00160313  0.00219497
          17    0.001272  0.00158365  0.00206594
          18   -0.003372  0.00130833  0.00196942
          19     0.00311  0.00140316  0.00186805
          20   -0.002452   0.0012104  0.00178457
