#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.022702    0.022702           0
           2    0.009554    0.016128  0.00464852
           3    0.021214   0.0178233  0.00339411
           4    0.006336   0.0149515  0.00355887
           5    0.012216   0.0144044  0.00288884
           6    -0.01901  0.00883533  0.00562502
           7   -0.026206  0.00382943  0.00668772
           8   -0.013302    0.001688   0.0061851
           9    -0.01067 0.000314889  0.00564823
          10    0.006572   0.0009406  0.00511795
          11    0.032958  0.00385127   0.0054175
          12     0.00435  0.00389283   0.0049662
          13   -0.001364  0.00348846  0.00460062
          14   -0.008254  0.00264971  0.00434779
          15    0.004074  0.00274467  0.00405897
          16    0.033442  0.00466325  0.00423451
          17   -0.031732  0.00252235  0.00449415
          18    0.014406  0.00318256   0.0042927
          19     0.02504  0.00433295   0.0042181
          20    0.022032   0.0052179  0.00409897
