#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.92755     1.92755           0
           2     1.95315     1.94035  0.00905013
           3     1.90656     1.92908   0.0109994
           4     1.92092     1.92704  0.00843672
           5     1.91458     1.92455  0.00710822
           6     1.85477     1.91292   0.0121574
           7     1.91827     1.91368   0.0104446
           8     1.94045     1.91703  0.00966003
           9     1.89434     1.91451  0.00890961
          10     1.92123     1.91518  0.00804395
          11      1.9555     1.91885  0.00810496
          12      1.9223     1.91913  0.00743466
          13     1.87957     1.91609  0.00745957
          14     1.92104     1.91644  0.00693512
          15      1.8491     1.91195  0.00779176
          16     1.88832     1.91048  0.00744347
          17     1.87779     1.90855  0.00724976
          18     1.94599     1.91063  0.00713913
          19     1.90395     1.91028  0.00677206
          20     1.91303     1.91042  0.00643485
