#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1   -0.002224   -0.002224           0
           2    0.002362     6.9e-05   0.0016214
           3    0.006704  0.00228067  0.00210461
           4    0.001658    0.002125  0.00158421
           5    0.000158   0.0017316   0.0013153
           6   -0.003164 0.000915667  0.00132521
           7     0.00147 0.000994857  0.00113826
           8   -0.003352   0.0004515  0.00111817
           9   -0.001954 0.000184222  0.00102538
          10    0.000426   0.0002084 0.000923124
          11   -0.001136 8.61818e-05 0.000847255
          12    0.000856 0.000150333 0.000779076
          13   -0.000322    0.000114 0.000719994
          14    0.000886 0.000169143 0.000670674
          15   -0.000954 9.42667e-05 0.000630128
          16    0.001598  0.00018825 0.000597713
          17   -0.002328 4.02353e-05 0.000580591
          18    -0.00178-6.08889e-05 0.000557073
          19   -0.001274-0.000124737 0.000531399
          20       9e-05   -0.000114 0.000504938
