#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     24.7711     24.7711           0
           2     24.0782     24.4247    0.244968
           3     26.4515     25.1003    0.575285
           4     26.3662     25.4168    0.511155
           5     26.3681      25.607    0.442924
           6     25.2518     25.5478     0.37304
           7     24.3549     25.3774    0.356558
           8     23.5301     25.1465    0.379466
           9     24.3417     25.0571    0.347678
          10     24.9699     25.0483    0.313019
          11      24.168     24.9683    0.294616
          12     22.5948     24.7705    0.329844
          13     23.7561     24.6925    0.313565
          14     23.8385     24.6315    0.297042
          15      26.895     24.7824    0.313233
          16     21.9634     24.6062    0.339611
          17     26.9965     24.7468    0.347524
          18     24.2954     24.7217     0.32912
          19     23.9126     24.6791    0.314541
          20     24.3903     24.6647    0.299145
