#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1   -0.002848   -0.002848           0
           2    -0.00139   -0.002119 0.000515481
           3   -0.001814 -0.00201733 0.000353537
           4   -0.005394  -0.0028615 0.000777669
           5   -0.003144   -0.002918 0.000624184
           6     0.00414 -0.00174167  0.00119319
           7     -0.0035 -0.00199286  0.00104884
           8   -0.001064 -0.00187675 0.000924138
           9   -0.000792 -0.00175622 0.000829278
          10     0.00582  -0.0009986  0.00103616
          11    0.004572-0.000492182  0.00105851
          12   -0.004236-0.000804167  0.00101524
          13   -0.002104-0.000904154 0.000942053
          14   -0.001198-0.000925143 0.000874997
          15   -0.004992 -0.00119627 0.000857641
          16    0.004534-0.000838125 0.000875629
          17      -4e-06-0.000789059 0.000825495
          18    0.005546-0.000437111 0.000851361
          19   -0.003192-0.000582105 0.000818806
          20   -0.007124  -0.0009092 0.000840665
