#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.213778    0.213778           0
           2    0.205975    0.209877  0.00275879
           3    0.212091    0.210615  0.00193543
           4    0.215691    0.211884  0.00182069
           5    0.214437    0.212395  0.00152647
           6    0.212309     0.21238  0.00127212
           7    0.213954    0.212605  0.00111006
           8    0.211236    0.212434 0.000984416
           9    0.214157    0.212626 0.000893466
          10     0.21378    0.212741 0.000811549
          11    0.212573    0.212726 0.000737914
          12     0.21343    0.212784 0.000678754
          13    0.211501    0.212686 0.000633683
          14    0.215266     0.21287  0.00061464
          15    0.210039    0.212681 0.000601943
          16    0.213442    0.212729 0.000566195
          17    0.215398    0.212886 0.000554239
          18    0.209982    0.212725 0.000546421
          19    0.210501    0.212608 0.000530047
          20       0.215    0.212727 0.000516866
