#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.493405    0.493405           0
           2           0    0.246702    0.174445
           3           0    0.164468    0.134288
           4           0    0.123351    0.106825
           5           0   0.0986809   0.0882629
           6           0   0.0822341   0.0750691
           7           0   0.0704864   0.0652577
           8           0   0.0616756   0.0576922
           9           0   0.0548227   0.0516874
          10           0   0.0493405   0.0468085
          11           0    0.044855   0.0427675
          12           0   0.0411171   0.0393666
          13           0   0.0379542   0.0364652
          14           0   0.0352432   0.0339612
          15           0   0.0328936   0.0317783
          16           0   0.0308378   0.0298586
          17           0   0.0290238   0.0281572
          18           0   0.0274114   0.0266391
          19           0   0.0259687    0.025276
          20           0   0.0246702   0.0240456
