#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.229397    0.229397           0
           2    0.226801    0.228099 0.000918079
           3    0.227326    0.227841 0.000647162
           4    0.224562    0.227022 0.000860034
           5    0.230647    0.227747  0.00094554
           6    0.227012    0.227624 0.000795837
           7    0.228647     0.22777 0.000695416
           8    0.230553    0.228118 0.000690021
           9    0.229375    0.228258 0.000627325
          10    0.224125    0.227845 0.000687368
          11     0.22955       0.228 0.000642118
          12    0.230227    0.228185 0.000614843
          13    0.224997     0.22794 0.000614514
          14    0.230919    0.228153 0.000606341
          15    0.228757    0.228193 0.000567256
          16    0.228727    0.228226 0.000532782
          17    0.228378    0.228235 0.000501516
          18    0.230357    0.228353  0.00048731
          19    0.230927    0.228489 0.000480122
          20    0.227146    0.228421 0.000460788
