#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     16.8842     16.8842           0
           2     14.8759     15.8801    0.710043
           3     15.5836     15.7813    0.480189
           4     15.9442      15.822    0.361865
           5     15.4924     15.7561    0.295436
           6     16.3725     15.8588    0.263454
           7     15.5908     15.8205    0.228582
           8      13.963     15.5883    0.295259
           9     15.0631       15.53    0.268157
          10     15.5062     15.5276    0.241352
          11     13.8512     15.3752    0.263166
          12     14.1675     15.2746    0.259769
          13     15.5702     15.2973     0.24078
          14     16.0497      15.351      0.2295
          15     14.8443     15.3173    0.216672
          16     15.3177     15.3173     0.20313
          17     14.5827     15.2741    0.195723
          18     16.0546     15.3174    0.189592
          19     13.7175     15.2332    0.197431
          20     15.0708     15.2251    0.187727
