#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.337716    0.337716           0
           2     0.34641    0.342063  0.00307384
           3    0.344365     0.34283  0.00214291
           4    0.342234    0.342681  0.00161236
           5    0.345816    0.343308  0.00140648
           6    0.343943    0.343414  0.00117604
           7    0.349305    0.344256  0.00127403
           8    0.347752    0.344693  0.00118739
           9    0.350258    0.345311  0.00120578
          10    0.343335    0.345113  0.00110128
          11    0.341692    0.344802  0.00104417
          12    0.342765    0.344632 0.000970862
          13    0.339016      0.3442 0.000987646
          14    0.348272    0.344491 0.000958966
          15     0.34691    0.344653 0.000908487
          16    0.345104    0.344681 0.000852145
          17    0.343626    0.344619 0.000804274
          18    0.349896    0.344912 0.000811269
          19    0.347558    0.345051 0.000780435
          20    0.338958    0.344746 0.000798675
