#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.25051     1.25051           0
           2     1.22203     1.23627   0.0100719
           3     1.23734     1.23663  0.00672091
           4     1.21812       1.232  0.00643927
           5     1.25439     1.23648  0.00652484
           6     1.18177     1.22736  0.00994243
           7     1.22294     1.22673  0.00854213
           8     1.24873     1.22948  0.00790456
           9     1.25002     1.23176  0.00734859
          10     1.21963     1.23055  0.00671309
          11     1.22596     1.23013  0.00611576
          12       1.222     1.22945  0.00564356
          13     1.22648     1.22922  0.00521405
          14     1.20818     1.22772  0.00505367
          15     1.22641     1.22763  0.00471752
          16      1.2712     1.23036  0.00514882
          17     1.23763     1.23078  0.00486369
          18     1.27322     1.23314   0.0051331
          19     1.22647     1.23279  0.00487493
          20     1.21418     1.23186   0.0047192
