#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     5.51407     5.51407           0
           2     5.58085     5.54746   0.0236084
           3     5.81966     5.63819   0.0757364
           4     5.59777     5.62809   0.0574726
           5     5.69724     5.64192    0.047613
           6     5.74256     5.65869   0.0425295
           7      5.5469     5.64272   0.0393382
           8      5.5579     5.63212   0.0358212
           9      5.5656     5.62473   0.0325947
          10     5.42981     5.60523   0.0346768
          11     5.33064     5.58027   0.0395008
          12     5.29343     5.55637   0.0428351
          13     5.77061     5.57285   0.0425924
          14     5.98568     5.60234   0.0486994
          15     5.22359     5.57709   0.0515848
          16     5.85613     5.59453   0.0512241
          17     5.53253     5.59088   0.0483406
          18      5.3637     5.57826   0.0472739
          19     5.70661     5.58501   0.0452659
          20     5.57442     5.58448   0.0430057
