#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     0.05864     0.05864           0
           2    0.041518    0.050079  0.00605354
           3    0.063186    0.054448   0.0053863
           4    0.019776     0.04578  0.00852467
           5   -0.001828   0.0362584   0.0109104
           6   -0.019158   0.0270223   0.0123997
           7    0.132676   0.0421157   0.0175564
           8    0.010254    0.038133   0.0158071
           9    0.011196     0.03514   0.0143313
          10    0.015204   0.0331464   0.0130361
          11   -0.045314   0.0260136   0.0136637
          12    0.036966   0.0269263   0.0125555
          13     0.03439   0.0275005   0.0116029
          14    0.050176   0.0291201   0.0108865
          15    0.048634   0.0304211   0.0102382
          16     0.01642    0.029546  0.00963564
          17    0.048178    0.030642  0.00913096
          18    0.011894   0.0296004  0.00868288
          19   -0.030578   0.0264332  0.00878459
          20   -0.013798   0.0244216  0.00857258
