#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.435051    0.435051           0
           2    0.421358    0.428204  0.00484135
           3    0.449727    0.435378  0.00668793
           4    0.437105     0.43581  0.00502986
           5    0.438322    0.436312  0.00404889
           6    0.427107    0.434778  0.00365321
           7    0.432815    0.434498  0.00314207
           8    0.421397     0.43286  0.00314723
           9    0.420708     0.43151  0.00307354
          10    0.436902    0.432049  0.00281309
          11    0.429645    0.431831  0.00256584
          12    0.418171    0.430692  0.00259226
          13    0.434339    0.430973  0.00240798
          14    0.455213    0.432704  0.00278986
          15    0.467232    0.435006  0.00342426
          16    0.420253    0.434084  0.00333207
          17    0.455793    0.435361  0.00337191
          18    0.457786    0.436607  0.00340697
          19    0.438913    0.436728  0.00322982
          20    0.422172       0.436  0.00314926
