#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.003876    0.003876           0
           2   -0.001124    0.001376  0.00176777
           3   -0.008956   -0.002068  0.00304899
           4    0.002186  -0.0010045  0.00246525
           5    0.002938   -0.000216  0.00209451
           6    0.002236 0.000192667  0.00178484
           7    0.004048 0.000743429  0.00161261
           8   -0.002274  0.00036625  0.00145447
           9    0.000306 0.000359556  0.00129288
          10    0.009444    0.001268  0.00144799
          11   -0.009706 0.000270364  0.00162407
          12    0.002026 0.000416667   0.0014953
          13    -0.00284 0.000166154  0.00140111
          14    0.002052 0.000300857  0.00130749
          15   -0.002024 0.000145867  0.00122947
          16   -0.000992   7.475e-05  0.00115469
          17   -0.002826-9.58824e-05   0.0010993
          18    0.004448 0.000156556  0.00106682
          19   -0.001664 6.07368e-05  0.00101496
          20   -0.000858    1.48e-05 0.000965255
