#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1   -0.005288   -0.005288           0
           2   -0.000524   -0.002906  0.00168433
           3     0.00224 -0.00119067  0.00179512
           4     0.00377    4.95e-05  0.00172225
           5     0.00159   0.0003576  0.00140509
           6     0.00231    0.000683    0.001208
           7     0.00161 0.000815429  0.00104266
           8    0.004278  0.00124825 0.000998128
           9    0.004474  0.00160667 0.000949398
          10     0.00062    0.001508  0.00085957
          11    0.007558    0.002058 0.000941078
          12    -0.00081    0.001819 0.000892488
          13    0.001358  0.00178354 0.000824539
          14    0.000252  0.00167414 0.000772867
          15    0.008632    0.002138 0.000849208
          16   -0.005364  0.00166913 0.000916477
          17     2.8e-05  0.00157259 0.000867636
          18    -0.00055  0.00145467 0.000827409
          19     -0.0018  0.00128337 0.000801397
          20   -0.001836   0.0011274 0.000776356
